Customer_ID,Product_ID,Review_Text,Rating,Sentiment,Monthly_Sales
1001,P005,Very disappointed.,1,Negative,76
1002,P005,Amazing performance.,5,Positive,547
1003,P002,Very disappointed.,1,Negative,51
1004,P001,Terrible experience.,1,Negative,76
1005,P005,Okay for the price.,3,Neutral,222
1006,P001,Excellent product.,4,Positive,795
1007,P003,Worst product.,1,Negative,147
1008,P005,It’s fine.,3,Neutral,336
1009,P002,Worst product.,2,Negative,192
1010,P003,Will not buy again.,1,Negative,152
1011,P003,Great quality.,5,Positive,702
1012,P005,Great quality.,5,Positive,685
1013,P005,Okay for the price.,2,Neutral,281
1014,P001,Excellent product.,5,Positive,997
1015,P004,Poor quality.,1,Negative,90
1016,P002,Highly recommend.,4,Positive,930
1017,P003,"Decent, not great.",3,Neutral,257
1018,P005,Loved it!,4,Positive,874
1019,P005,Great quality.,5,Positive,770
1020,P001,Worst product.,2,Negative,165
1021,P005,Great quality.,4,Positive,801
1022,P001,Loved it!,4,Positive,534
1023,P005,Worst product.,1,Negative,196
1024,P003,"Decent, not great.",3,Neutral,249
1025,P001,Average product.,2,Neutral,406
1026,P004,Great quality.,4,Positive,716
1027,P001,Loved it!,5,Positive,833
1028,P002,Great quality.,5,Positive,609
1029,P004,Okay for the price.,3,Neutral,416
1030,P003,Great quality.,5,Positive,796
1031,P002,Loved it!,5,Positive,991
1032,P005,Amazing performance.,4,Positive,561
1033,P003,Very disappointed.,2,Negative,102
1034,P001,Highly recommend.,5,Positive,734
1035,P003,Satisfactory.,2,Neutral,335
1036,P005,Great quality.,5,Positive,724
1037,P001,Poor quality.,1,Negative,117
1038,P002,Amazing performance.,4,Positive,809
1039,P001,Will not buy again.,1,Negative,120
1040,P004,Highly recommend.,4,Positive,879
1041,P005,Very disappointed.,1,Negative,144
1042,P003,Worst product.,1,Negative,60
1043,P002,Great quality.,4,Positive,998
1044,P003,Excellent product.,4,Positive,900
1045,P003,Loved it!,5,Positive,613
